comparison_id,comparison_protocol_version,metric_protocol_version,synthetic_comparison_notice,comparison_type,metric,model_a,condition_a,model_b,condition_b,baseline_model,effect_estimate,effect_direction_definition,ci_lower,ci_upper,bootstrap_replicates,bootstrap_mode,bootstrap_master_seed,bootstrap_derived_seed,ci_method,ci_level,cluster_unit,primary_estimand,participant_count,aligned_target_count,valid_pair_count,coverage_a,coverage_b,comparison_status,status_reason,principal_baseline_comparator_status,p_value
llm_vs_baseline__spearman__0a70724337d0,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,spearman,gpt,personalised_history,mixed_effects_baseline,,primary_acoustic,-0.256494588021,LLM - baseline,,,0,test,20260814,60686161,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__strict_top1_accuracy__1ad55b1552dc,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,strict_top1_accuracy,llama_3_1_70b_instruct,non_history,mixed_effects_baseline,,categorical_design,-1,LLM - baseline,,,0,test,20260814,33939972,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__mae__e627396b2fd3,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,mae,llama_3_1_70b_instruct,non_history,mixed_effects_baseline,,categorical_design,18.5446714593,LLM - baseline; negative means lower LLM error,,,0,test,20260814,1181858888,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__rmse__169c80bb1c4b,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,rmse,llama_3_1_70b_instruct,non_history,mixed_effects_baseline,,categorical_design,21.2052773441,LLM - baseline; negative means lower LLM error,,,0,test,20260814,2957433868,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__spearman__5b8b1ae35c63,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,spearman,llama_3_1_70b_instruct,non_history,mixed_effects_baseline,,categorical_design,-0.666885928855,LLM - baseline,,,0,test,20260814,720674204,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__strict_top1_accuracy__abc530018744,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,strict_top1_accuracy,llama_3_1_70b_instruct,non_history,mixed_effects_baseline,,primary_acoustic,-1,LLM - baseline,,,0,test,20260814,321745136,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__mae__39680f1a8c67,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,mae,llama_3_1_70b_instruct,non_history,mixed_effects_baseline,,primary_acoustic,18.9483279423,LLM - baseline; negative means lower LLM error,,,0,test,20260814,3887196717,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__rmse__7fe2368ef4b3,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,rmse,llama_3_1_70b_instruct,non_history,mixed_effects_baseline,,primary_acoustic,21.7883187473,LLM - baseline; negative means lower LLM error,,,0,test,20260814,2223106625,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__spearman__b91f91ca01e0,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,spearman,llama_3_1_70b_instruct,non_history,mixed_effects_baseline,,primary_acoustic,-0.256494588021,LLM - baseline,,,0,test,20260814,179440413,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__strict_top1_accuracy__48bbee6cd1a9,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,strict_top1_accuracy,llama_3_1_70b_instruct,personalised_history,mixed_effects_baseline,,categorical_design,-1,LLM - baseline,,,0,test,20260814,4200260326,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__mae__331167c149ea,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,mae,llama_3_1_70b_instruct,personalised_history,mixed_effects_baseline,,categorical_design,18.5446714593,LLM - baseline; negative means lower LLM error,,,0,test,20260814,2457146516,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__rmse__353f854283d3,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,rmse,llama_3_1_70b_instruct,personalised_history,mixed_effects_baseline,,categorical_design,21.2052773441,LLM - baseline; negative means lower LLM error,,,0,test,20260814,2612595237,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__spearman__cc368d7aff38,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,spearman,llama_3_1_70b_instruct,personalised_history,mixed_effects_baseline,,categorical_design,-0.666885928855,LLM - baseline,,,0,test,20260814,3744737397,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__strict_top1_accuracy__c007551e10ed,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,strict_top1_accuracy,llama_3_1_70b_instruct,personalised_history,mixed_effects_baseline,,primary_acoustic,-1,LLM - baseline,,,0,test,20260814,4236410655,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__mae__708a12689138,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,mae,llama_3_1_70b_instruct,personalised_history,mixed_effects_baseline,,primary_acoustic,18.9483279423,LLM - baseline; negative means lower LLM error,,,0,test,20260814,710666195,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__rmse__3813e098e475,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,rmse,llama_3_1_70b_instruct,personalised_history,mixed_effects_baseline,,primary_acoustic,21.7883187473,LLM - baseline; negative means lower LLM error,,,0,test,20260814,3477329441,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
llm_vs_baseline__spearman__ed2d9f0e2fe7,phase6f_comparison_protocol_v1,phase6f_metric_protocol_v1,Synthetic/mock comparison values validate statistical plumbing only and are not evidence about LLM or baseline performance.,llm_vs_baseline,spearman,llama_3_1_70b_instruct,personalised_history,mixed_effects_baseline,,primary_acoustic,-0.256494588021,LLM - baseline,,,0,test,20260814,2879098535,percentile,0.95,participant_id,pooled eligible held-out participant-trial performance with participant-cluster bootstrap uncertainty,1,1,1,1,1,insufficient_aligned_targets,requires at least 2 aligned targets,not_singly_designated_both_primary_baselines_predefined_confirmation_required,
